code_rome,nb_offres_adzuna,salaire_moyen_adzuna,nb_offres_ft,salaire_moyen_ft,nb_offres_total,salaire_moyen,indice_tension,statut,libelle,source_calcul,date_calcul
A1101,0.0,0.0,4.0,31460.0,4.0,15730.0,16.4,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1102,0.0,0.0,16.0,33210.25,16.0,16605.125,65.5,EQUILIBRE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1201,0.0,0.0,3.0,25702.733333333334,3.0,12851.366666666667,12.3,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1202,0.0,0.0,10.0,28540.0,10.0,14270.0,40.9,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1203,0.0,0.0,61.0,23471.02,61.0,11735.51,249.7,TRES EN TENSION,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1204,0.0,0.0,2.0,,2.0,0.0,8.2,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1206,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1207,0.0,0.0,6.0,25920.0,6.0,12960.0,24.6,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1208,0.0,0.0,45.0,24432.159047619047,45.0,12216.079523809523,184.2,TRES EN TENSION,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1209,0.0,0.0,9.0,25256.36666666667,9.0,12628.183333333334,36.8,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1210,0.0,0.0,1.0,24570.0,1.0,12285.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1211,0.0,0.0,27.0,27199.285714285714,27.0,13599.642857142857,110.5,EN TENSION,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1212,0.0,0.0,1.0,25920.0,1.0,12960.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1213,0.0,0.0,6.0,,6.0,0.0,24.6,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1214,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1301,0.0,0.0,6.0,28960.0,6.0,14480.0,24.6,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1302,0.0,0.0,7.0,23808.559999999998,7.0,11904.279999999999,28.7,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1303,0.0,0.0,9.0,29499.076,9.0,14749.538,36.8,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1304,0.0,0.0,8.0,,8.0,0.0,32.7,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1306,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1307,0.0,0.0,1.0,33420.0,1.0,16710.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1310,0.0,0.0,5.0,,5.0,0.0,20.5,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1311,0.0,0.0,2.0,,2.0,0.0,8.2,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1312,0.0,0.0,3.0,,3.0,0.0,12.3,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1313,0.0,0.0,8.0,24613.333333333332,8.0,12306.666666666666,32.7,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1401,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1402,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1403,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1404,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1405,0.0,0.0,16.0,,16.0,0.0,65.5,EQUILIBRE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1406,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1409,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1411,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1412,0.0,0.0,2.0,31800.0,2.0,15900.0,8.2,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1414,0.0,0.0,1.0,38500.0,1.0,19250.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1416,0.0,0.0,3.0,,3.0,0.0,12.3,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1419,0.0,0.0,4.0,21858.199999999997,4.0,10929.099999999999,16.4,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1420,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1421,0.0,0.0,2.0,24129.21,2.0,12064.605,8.2,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1428,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1433,0.0,0.0,4.0,21858.18,4.0,10929.09,16.4,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1435,0.0,0.0,1.0,21858.199999999997,1.0,10929.099999999999,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1436,0.0,0.0,33.0,34210.0,33.0,17105.0,135.1,EN TENSION,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1439,0.0,0.0,3.0,,3.0,0.0,12.3,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
A1441,0.0,0.0,1.0,,1.0,0.0,4.1,SATURE,Autre metier,adzuna+ft,2026-05-22 15:04:53
